Amount - Order Total,Item - Fill SKU,Item - Price,Item - Qty,Item - SKU,Ship To - State,Date - Order Date
"429.91",,"398.99","1","Treadmill-W-H-0009","CA","3/15/2021 1:40:12 PM"
"388.06",,"339.99","1","Treadmill-None-0002","WA","3/15/2021 3:35:31 PM"
"366.75",,"345.99","1","Treadmill-None-0003","KY","3/15/2021 7:35:42 PM"
"369.57",,"339.99","1","Treadmill-None-0002","WA","3/15/2021 10:24:24 PM"
"408.36",,"339.99","1","Treadmill-None-0002","HI","3/16/2021 3:09:49 AM"
"422.93",,"398.99","1","Treadmill-W-H-0009","VA","3/16/2021 6:37:41 AM"
"345.99",,"345.99","1","Treadmill-None-0001","KS","3/16/2021 6:40:58 AM"
"358.69",,"339.99","1","Treadmill-None-0002","WI","3/16/2021 7:12:27 AM"
"366.75",,"345.99","1","Treadmill-None-0001","MD","3/16/2021 1:07:38 PM"
"370.21",,"345.99","1","Treadmill-None-0001","GA","3/16/2021 1:28:54 PM"
"355.98",,"345.99","1","Treadmill-None-0003","MT","3/16/2021 6:39:43 PM"
"359.98",,"339.99","1","Treadmill-None-0002","FL","3/17/2021 3:01:24 AM"
"374.53",,"345.99","1","Treadmill-None-0001","TX","3/17/2021 4:25:59 AM"
"364.64",,"339.99","1","Treadmill-None-0002","UT","3/17/2021 1:49:38 PM"
"372.80",,"345.99","1","Treadmill-None-0003","CA","3/18/2021 7:31:02 AM"
"417.29",,"389.99","1","Treadmill-W-H-0008","SC","3/18/2021 10:07:10 AM"
"377.34",,"345.99","1","Treadmill-None-0003","VA","3/18/2021 5:01:42 PM"
"423.93",,"398.99","1","Treadmill-W-H-0009","MA","3/18/2021 7:01:18 PM"
"366.75",,"345.99","1","Treadmill-None-0003","PA","3/19/2021 8:36:41 AM"
"339.99",,"339.99","1","Treadmill-None-0002","FL","3/19/2021 9:44:15 AM"
"428.01",,"389.99","1","Treadmill-W-H-0008","TN","3/19/2021 10:17:54 AM"
"374.33",,"339.99","1","Treadmill-None-0002","WA","3/19/2021 11:03:23 AM"
"372.29",,"339.99","1","Treadmill-None-0002","CA","3/19/2021 12:40:47 PM"
"361.24",,"339.99","1","Treadmill-None-0002","MA","3/19/2021 4:54:02 PM"
"381.04",,"339.99","1","Treadmill-None-0002","NY","3/19/2021 5:27:50 PM"
"484.83",,"389.99","1","Treadmill-W-H-0008","PR","3/20/2021 5:42:15 AM"
"414.36",,"389.99","1","Treadmill-W-H-0008","MA","3/20/2021 8:15:46 AM"
"345.99",,"345.99","1","Treadmill-None-0001","FL","3/20/2021 10:35:36 AM"
"443.80",,"389.99","1","Treadmill-W-H-0008","TX","3/20/2021 11:57:45 AM"
"431.91",,"398.99","1","Treadmill-W-H-0009","TX","3/20/2021 12:55:16 PM"
"431.13",,"395.99","1","E1-FLOG-Y6RC","NY","3/20/2021 1:33:18 PM"
"339.99",,"339.99","1","Treadmill-None-0002","OK","3/20/2021 5:12:35 PM"
"377.99",,"345.99","1","Treadmill-None-0003","TN","3/20/2021 5:17:17 PM"
"398.46",,"345.99","1","Treadmill-None-0003","NY","3/20/2021 7:43:39 PM"
"431.91",,"398.99","1","Treadmill-W-H-0009","TX","3/20/2021 8:26:49 PM"
"374.48",,"339.99","1","Treadmill-None-0002","OH","3/21/2021 5:13:31 AM"
"418.26",,"389.99","1","Treadmill-W-H-0008","CA","3/21/2021 7:45:53 AM"
"339.99",,"339.99","1","Treadmill-None-0002","IA","3/21/2021 9:30:51 AM"
"430.05",,"395.99","1","E1-FLOG-Y6RC","WA","3/21/2021 2:58:23 PM"
"422.93",,"398.99","1","Treadmill-W-H-0009","PA","3/21/2021 3:23:55 PM"
"367.61",,"345.99","1","Treadmill-None-0003","MA","3/21/2021 3:24:33 PM"
"368.04",,"339.99","1","Treadmill-None-0002","TX","3/21/2021 3:35:04 PM"
"372.80",,"345.99","1","Treadmill-None-0001","CA","3/21/2021 5:15:33 PM"
"467.00",,"395.99","1","E1-FLOG-Y6RC","HI","3/21/2021 5:45:35 PM"
"372.80",,"345.99","1","Treadmill-None-0003","CA","3/21/2021 6:13:16 PM"
"421.68",,"389.99","1","Treadmill-W-H-0008","CA","3/21/2021 7:26:37 PM"
"389.98",,"339.99","1","Treadmill-None-0002","AK","3/21/2021 7:29:01 PM"
"374.33",,"339.99","1","Treadmill-None-0002","WA","3/21/2021 11:35:04 PM"
"366.75",,"345.99","1","Treadmill-None-0001","MI","3/22/2021 5:59:46 AM"
"429.08",,"339.99","1","Treadmill-None-0002","Puerto Rico","3/22/2021 4:04:20 PM"
"368.04",,"339.99","1","Treadmill-None-0002","TX","3/22/2021 6:39:15 PM"
"380.07",,"339.99","1","Treadmill-None-0002","OK","3/23/2021 6:19:00 AM"
"431.91",,"398.99","1","Treadmill-W-H-0009","TX","3/23/2021 9:04:40 AM"
"364.64",,"339.99","1","Treadmill-None-0002","UT","3/23/2021 11:42:04 AM"
"389.22",,"345.99","1","Treadmill-None-0001","CT","3/23/2021 3:37:26 PM"
"426.84",,"389.99","1","Treadmill-W-H-0008","LA","3/23/2021 5:52:46 PM"
"360.39",,"339.99","1","Treadmill-None-0002","PA","3/24/2021 6:11:27 AM"
"440.73",,"389.99","1","Treadmill-W-H-0008","NC","3/24/2021 7:13:34 AM"
"368.04",,"339.99","1","Treadmill-None-0002","TX","3/24/2021 6:04:02 PM"
"360.39",,"339.99","1","Treadmill-None-0002","KY","3/24/2021 7:04:35 PM"
"370.25",,"339.99","1","Treadmill-None-0002","GA","3/25/2021 6:51:02 AM"
"366.75",,"345.99","1","Treadmill-None-0003","VA","3/25/2021 8:55:44 AM"
"375.75",,"345.99","1","Treadmill-None-0003","WA","3/25/2021 1:00:42 PM"
"360.39",,"339.99","1","Treadmill-None-0002","MI","3/25/2021 1:05:34 PM"
"364.64",,"339.99","1","Treadmill-None-0002","TX","3/25/2021 1:25:36 PM"
"360.39",,"339.99","1","Treadmill-None-0002","VA","3/25/2021 4:15:21 PM"
"371.07",,"345.99","1","Treadmill-None-0001","NC","3/25/2021 6:00:31 PM"
"376.26",,"345.99","1","Treadmill-None-0003","CA","3/25/2021 7:25:13 PM"
"491.52",,"395.99","1","E1-FLOG-Y6RC","PR","3/26/2021 4:05:53 PM"
"429.08",,"339.99","1","Treadmill-None-0002","PR","3/26/2021 4:52:10 PM"
"361.58",,"339.99","1","Treadmill-None-0002","CT","3/27/2021 5:02:33 PM"
"383.56",,"345.99","1","Treadmill-None-0001","CA","3/27/2021 8:21:34 PM"
"360.39",,"339.99","1","Treadmill-None-0002","MD","3/28/2021 9:30:11 AM"
"431.91",,"398.99","1","Treadmill-W-H-0009","TX","3/28/2021 10:53:50 AM"
"365.02",,"345.99","1","Treadmill-None-0003","WI","3/28/2021 2:29:35 PM"
"418.26",,"389.99","1","Treadmill-W-H-0008","NC","3/28/2021 2:19:34 PM"
"359.98",,"339.99","1","Treadmill-None-0002","OR","3/28/2021 5:29:08 PM"
"452.89",,"395.99","1","E1-FLOG-Y6RC","NY","3/29/2021 6:12:29 AM"
"419.75",,"395.99","1","E1-FLOG-Y6RC","MD","3/29/2021 10:09:23 AM"
"421.73",,"395.99","1","E1-FLOG-Y6RC","SD","3/29/2021 4:08:41 PM"
"374.84",,"339.99","1","Treadmill-None-0002","IL","3/29/2021 7:09:08 PM"
"360.39",,"339.99","1","Treadmill-None-0002","DC","3/30/2021 1:14:49 PM"
"390.53",,"339.99","1","Treadmill-None-0002","CO","3/30/2021 8:50:06 PM"
"427.67",,"395.99","1","E1-FLOG-Y6RC","CA","3/30/2021 9:49:44 PM"
"378.86",,"345.99","1","Treadmill-None-0003","CA","3/30/2021 9:51:04 PM"
"423.71",,"395.99","1","E1-FLOG-Y6RC","NC","3/31/2021 1:42:07 PM"
"366.34",,"339.99","1","Treadmill-None-0002","CA","3/31/2021 7:44:56 PM"
"373.14",,"339.99","1","Treadmill-None-0002","TN","3/31/2021 9:37:05 PM"
"374.84",,"339.99","1","Treadmill-None-0002","IL","4/2/2021 3:52:34 PM"
"345.99",,"345.99","1","Treadmill-None-0003","FL","4/2/2021 3:50:48 PM"
"421.19",,"389.99","1","Treadmill-W-H-0008","GA","4/3/2021 5:47:31 AM"
"366.75",,"345.99","1","Treadmill-None-0003","MI","4/3/2021 12:54:55 PM"
"356.14",,"339.99","1","Treadmill-None-0002","CO","4/4/2021 8:24:16 PM"
"390.12",,"339.99","1","Treadmill-None-0002","NV","4/4/2021 11:00:57 PM"
"345.99",,"345.99","1","Treadmill-None-0003","NY","4/5/2021 10:58:03 AM"
"363.79",,"339.99","1","Treadmill-None-0002","NY","4/6/2021 4:27:28 AM"
"370.21",,"345.99","1","Treadmill-None-0001","MS","4/6/2021 3:00:30 PM"
"417.29",,"389.99","1","Treadmill-W-H-0008","IA","4/7/2021 6:39:03 AM"
"389.99",,"389.99","1","Treadmill-W-H-0008","FL","4/7/2021 8:14:16 AM"
"373.67",,"345.99","1","Treadmill-None-0003","AL","4/7/2021 8:30:49 AM"
"366.34",,"339.99","1","Treadmill-None-0002","GA","4/7/2021 10:58:06 PM"
"416.98",,"395.99","1","E1-FLOG-Y6RC","VA","4/9/2021 11:03:14 PM"
"423.71",,"395.99","1","E1-FLOG-Y6RC","NE","4/15/2021 7:32:56 AM"
"374.84",,"339.99","1","Treadmill-None-0002","CA","5/4/2021 9:48:31 AM"
"359.98",,"339.99","1","Treadmill-None-0002","FL","5/4/2021 8:44:24 PM"
"100.48",,"92.99","1","Kid-desk-Blue-002","AZ","5/11/2021 9:57:27 AM"
"259.79",,"239.99","1","DESK-S-BLK","TX","5/11/2021 5:08:34 PM"
"256.79",,"239.99","1","DESK-S-BLK","RI","5/15/2021 11:28:40 AM"
"254.39",,"239.99","1","DESK-S-BLK","PA","5/16/2021 7:12:42 AM"
"260.99",,"239.99","1","DESK-S-BLK","CA","5/17/2021 8:52:24 PM"
"256.19",,"239.99","1","DESK-S-BLK","NC","5/18/2021 5:24:48 PM"
"186.54",,"85.99","1","Kid-desk-pink-00012","MI","5/24/2021 4:43:03 PM"
"186.54",,"89.99","1","Kid-desk-Blue-11","MI","5/24/2021 4:43:03 PM"
"37.22",,"33.99","1","chr-1031-BLU2","CA","5/25/2021 1:26:50 PM"
"36.45",,"33.99","1","chr-1031-WHT2","CA","5/25/2021 1:58:38 PM"
"37.01",,"33.99","1","chr-1031-BLU2","NY","5/27/2021 7:09:54 AM"
"98.57",,"92.99","1","kid-pink-02","VA","5/28/2021 9:29:23 PM"
"36.15",,"33.99","1","chr-1031-BLU2","CT","6/1/2021 6:26:59 PM"
"36.71",,"33.99","1","chr-1031-BLU2","AL","6/3/2021 2:07:59 PM"
"103.43",,"95.99","1","Kid-desk-pink","CA","6/3/2021 7:50:56 PM"
"36.15",,"33.99","1","chr-1031-BLU2","CT","6/3/2021 8:03:10 PM"
"33.99",,"33.99","1","chr-1031-BLU2","FL","6/4/2021 3:01:33 AM"
"36.45",,"33.99","1","chr-1031-WHT2","NC","6/4/2021 10:23:58 AM"
"73.58",,"33.99","1","chr-1031-WHT2","TX","6/4/2021 10:04:28 PM"
"73.58",,"33.99","1","chr-1031-BLU2","TX","6/4/2021 10:04:28 PM"
"98.00",,"89.99","1","Kid-desk-Blue-11","GA","6/6/2021 12:31:34 PM"
"149.99",,"149.99","1","beach-tent-10-B","FL","6/9/2021 5:45:27 PM"
"37.22",,"33.99","1","chr-1031-BLU2","CA","6/9/2021 7:10:20 PM"
"36.79",,"33.99","1","chr-1031-WHT2","TX","6/11/2021 7:57:37 AM"
"37.01",,"33.99","1","chr-1031-BLU2","NY","6/11/2021 9:45:33 AM"
"36.96",,"33.99","1","chr-1031-WHT2","OK","6/11/2021 1:42:32 PM"
"36.24",,"33.99","1","chr-1031-BLU2","NJ","6/11/2021 4:27:58 PM"
"35.94",,"33.99","1","chr-1031-WHT2","OK","6/12/2021 3:15:13 PM"
"36.37",,"33.99","1","chr-1031-BLU2","IN","6/14/2021 4:46:34 AM"
"36.71",,"33.99","1","chr-1031-BLU2","AL","6/19/2021 6:42:00 PM"
"33.99",,"33.99","1","chr-1031-WHT2","FL","6/20/2021 8:55:36 PM"
"36.54",,"33.99","1","chr-1031-BLU2","OH","6/21/2021 3:54:32 PM"
"36.24",,"33.99","1","chr-1031-WHT2","NJ","6/21/2021 4:14:38 PM"
"94.94",,"89.99","1","Kid-desk-Blue-11","WI","6/22/2021 6:19:59 AM"
"96.29",,"89.99","1","Kid-desk-Blue-11","IN","6/22/2021 7:50:40 AM"
"91.15",,"85.99","1","Kid-desk-pink-00012","MD","6/22/2021 7:10:25 PM"
"98.00",,"89.99","1","Kid-desk-Blue-11","WA","6/22/2021 9:06:49 PM"
"189.61",,"89.99","1","Kid-desk-Blue-11","CA","6/22/2021 9:56:25 PM"
"189.61",,"85.99","1","Kid-desk-pink-00012","CA","6/22/2021 9:56:25 PM"
"93.51",,"85.99","1","Kid-desk-pink-00012","CA","6/24/2021 3:11:18 AM"
"92.01",,"85.99","1","Kid-desk-pink-00012","GA","6/25/2021 7:16:35 AM"
"89.99",,"89.99","1","Kid-desk-Blue-11","FL","6/25/2021 12:59:56 PM"
"0.00",,,,,"NC","6/25/2021 2:53:30 PM"
"193.13",,"89.99","1","Kid-desk-Blue-11","CA","6/25/2021 11:35:16 PM"
"193.13",,"85.99","1","Kid-desk-pink-00012","CA","6/25/2021 11:35:16 PM"
"93.08",,"85.99","1","Kid-desk-pink-00012","TX","6/26/2021 8:42:39 AM"
"89.99",,"89.99","1","Kid-desk-Blue-11","FL","6/26/2021 6:12:58 PM"
"91.15",,"85.99","1","Kid-desk-pink-00012","MI","6/27/2021 4:12:40 PM"
"36.03",,"33.99","1","chr-1031-WHT2","MD","6/29/2021 3:44:41 PM"
"343.99",,"319.99","1","Treadmill-None-0002","FL","7/2/2021 12:40:21 PM"
"91.15",,"85.99","1","Kid-desk-pink-00012","MD","7/2/2021 1:00:22 PM"
"288.87",,"89.99","3","Kid-desk-Blue-11","FL","7/2/2021 2:06:08 PM"
